,Country,Year,Mean.Years.of.Schooling..years.,Expected.years.of.schooling..years.,Literacy.rate..adult....ages.15.and.older.,Mean.Employment.Tenure,Main.Method.of.Skill.acquisition,Confidence.in.labor.unions,Union.Type,Main.source.of.Funding,Fund.Allocation.Criteria,IFDI....of.GDP.,Interfirm.Relations,Internal.Decision.Making.Structure,Extent.of.Delegation,Main.Criteria.for.pay.raise...promotion,Main.ownership.of.large.firms,main.controlling.owner,Investor.Protection,rule.of.law,Type,state.decision.making,Voice.andAccountability,Governmenteffectiveness,RegulatoryQuality,PowerDistance,UncertaintyAvoidance,Individualism,Motivation.towards.achievement.and.success,LongtermOrientation,Corruptionperceptionindex,InterpersonalTrust,Socialnetworks,Institutions,Institutionalenv,regulatoryenv,bussenvironment,humancapitalandresearch,education,tertiaryedu,researchanddevelopment,Infrastructure,ICTs,generalinfrastructure,ecologicalsustainability,MarketSophistication,Credit,Investment,Tradediversificationandmarketscale,businesssophistication,knowledgeworkers,innovationlinkages,knowledgeabsorption,knowledgeandtechnologyoutputs,knowledgecreation,knowledgeimpact,knowledgediffusion,creativeoutputs,intangibleassets,creativegoodsandservices,onlinecreativity
3,ARE,3,10.78497306,13.18983093,93.22714,short,all,NA,no unions,Banks,market-based,2.527122211,1,top-down,1,relationship-performance,family- state,family- state,58.555555,NA,welfare,top-down,-1.077182591,0.994129916,1.104531159,74,66,36,52,22,69,41,73,78.802,78.388,82.306,75.712,51.534,65.312,65.452,23.832,55.488,75.122,50.812,40.532,48.656,36.704,31.854,78.29,45.076,51.552,56.876,26.798,15.976,5.246,31.002,11.202,38.422,58.226,10.57,26.66
4,ARE,4,12.30748,14.79606667,94.1,short,all,NA,no unions,Banks,market-based,4.371979881,3,top-down,1,relationship-performance,family- state,family- state,78.66666667,NA,welfare,top-down,-1.159242779,0.99888432,1.299191952,74,66,36,52,22,70,42,73,79.67226558,76.91626127,84.19036355,77.90850526,52.25438312,57.38776824,63.73149819,35.64388292,59.23135791,87.52454576,55.82412091,34.36540707,53.01597646,49.07937289,40.87005531,69.08016784,47.12020042,49.63332003,46.48325151,45.29236306,22.24347706,6.059303949,30.88625639,29.7515375,31.18886049,36.49455769,36.69041709,15.06257613
7,BRA,3,7.533456,15.07939,92.08061,short,private,2.1377521,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,3.572601953,3,top-down,1,relationship,family- state,family- state,57.666665,-0.190173458,Developmental ,top-down,0.437846179,-0.272296912,-0.112964012,69,76,36,49,28,41,22,75,54.116,51.424,65.012,45.916,31.982,47.702,15.25,32.994,41.926,57.126,27.858,40.802,44.502,24.234,36.048,73.226,38.63,43.806,32.562,39.536,24.5,16.296,32.506,23.514,30.116,42.238,11.49,24.496
8,BRA,4,3.987058,15.47032,93.2275,short,private,2.0466206,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,3.582129992,4,top-down,1,relationship,family- state,family- state,62,-0.253444288,Developmental ,top-down,0.265248012,-0.444789596,-0.143616812,69,76,36,49,28,37,23,77,53.08410118,47.23761894,62.57676904,49.45624889,35.66070345,50.63709436,21.98,34.35181704,43.71871585,76.29669276,24.40773955,30.48338192,41.7470843,26.27447058,26.45138531,72.550397,37.19924193,45.86495704,24.27255664,41.52354545,24.35982406,20.3371566,31.64315304,21.06582919,24.13143731,37.94614657,7.116906466,13.55321629
11,CHL,3,10.10624,15.99155,96.51449,medium,private,2.3635371,industrial unions with some admixtures of craft unions,Banks,relationship-market,7.190010226,1,top-down,2,performance,family,family,66.333335,-0.349886999,Regulatory,top-down,-1.572013259,0.33973851,-0.289824699,63,86,49,28,12,70,32,70,71.995,72.36,70.76,72.87,32.248,44.06,35.28,17.406,48.586,64.592,36.546,44.626,50.73,34.018,40.17,78.008,36.766,46.63,28.76,34.904,26.792,11.252,40.368,27.248,36.562,51.46,11.82,31.512
12,CHL,4,10.74148,16.5317,96.60875,medium,private,2.3985877,industrial unions with some admixtures of craft unions,Banks,relationship-market,4.80501655,1,top-down,2,performance,family,family,66,-0.098833456,Regulatory,top-down,-1.634628624,0.623365492,-0.314406131,63,86,49,28,12,67,35,73,69.29262186,70.28286483,69.1969407,68.39639339,33.18030382,50.36208113,35.16954074,13.97595626,48.41057199,77.4558611,33.53336218,34.17582602,45.81616134,41.4085821,28.26075835,67.79581025,31.24147005,38.22066482,18.67558626,36.7964924,23.61192448,15.59251886,37.84706043,17.36286081,25.70060731,39.43885676,10.32191598,13.60446642
15,CHN,3,7.678067,13.67105884,94.96186,all,private,2.7235076,party-controlled unions,Banks,relationship-state-guidance,2.253857706,4,top-down,1,relationship,family- state,family- state,53,-0.317065159,Developmental and predatory,bottom-up and top-down,0.04763049,-0.081912403,0.335553271,80,30,43,66,77,39,55,64,52.128,45.296,49.226,61.864,44.894,70.552,14.19,49.938,49.034,47.866,61.652,37.574,53.028,37.006,41.048,81.032,47.596,73.26875,29.602,42.342,56.622,65.726,63.456,41.7,38.152,56.672,32.856,6.4
16,CHN,4,7.853333,14.02440218,98.84089,all,private,2.7494328,party-controlled unions,Banks,relationship-state-guidance,1.532310246,4,top-down,1,relationship,family- state,family- state,63.33333333,-0.44511576,Developmental and predatory,bottom-up and top-down,0.152123488,0.00229686,0.221542805,80,30,43,66,77,42,64,70,62.92551557,61.73905038,51.89587264,75.17329036,49.71818932,66.04833006,21.8727019,61.213536,56.01887316,78.33220269,57.10717286,32.63224395,57.81289749,47.93276814,34.25949758,91.22976009,54.76979107,78.3237161,32.38809182,53.58089863,57.60820948,69.91614015,58.49651226,44.46530937,47.56443332,75.98118038,35.03628325,3.289089285
19,COL,3,8.026027017,14.16874167,94.36171667,short,private,1.7998643,suppressed industrial unions,Banks,relationship-state-guidance,4.299184027,2,top-down,1,relationship,family- state,family- state,80,-0.54467912,Regulatory,top-down,-1.20034786,-0.617873276,-0.758518905,67,80,29,64,6,37,36,76,59.64,41.106,64.728,73.094,29.432,36.714,36.034,15.552,48.072,60.354,28.192,55.668,50.74,41.114,37.492,73.606,33.036,42.754,21.09,35.268,22.738,6.5,36.924,22.884,31.482,39.542,20.798,26.052
20,COL,4,8.565103633,14.40261667,95.09251,short,private,1.8927631,suppressed industrial unions,Banks,relationship-state-guidance,3.676660799,2,top-down,1,relationship,family- state,family- state,80,-0.294125296,Regulatory,top-down,-1.471483737,-0.40047662,-0.640852928,67,80,29,64,6,38,32,76,67.2,49.82242133,63.50024801,78.1175,27.07533117,40.16229254,30.37736482,10.73300283,47.19032546,70.43671178,26.124,46.14235363,45.02861853,39.5628488,26.98145025,68.5432232,32.85828629,47.03072487,18.61998156,32.89081911,20.26900039,8.98570069,34.71849739,17.10113643,20.25447058,29.16572778,9.311013063,13.36208038
