Country,Attribute,Mean Years of Schooling (years),Expected years of schooling (years),"Literacy rate, adult (% ages 15 and older)",Mean Employment Tenure,Main Method of Skill acquisition,Confidence in labor unions,Union Type,Main source of Funding,Fund Allocation Criteria,IFDI (% of GDP),Interfirm Relations,Internal Decision Making Structure,Extent of Delegation,Main Criteria for pay raise & promotion ,Main ownership of large firms,main controlling owner,Investor Protection,rule of law,Type,state decision making,Voice andAccountability,Governmenteffectiveness,RegulatoryQuality,PowerDistance,UncertaintyAvoidance,Individualism,Motivation towards achievement and success,LongtermOrientation,Corruptionperceptionindex,InterpersonalTrust,Socialnetworks
BRA,1,6.007528,14.21726,86.36788,short,private,2.1689191,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,3.115986154,3,top-down,1,relationship,family- state,family- state,53.33333,-0.315306217,Developmental ,top-down,0.348464524,-0.0860657,0.081364329,69,76,36,49,28,39,23,74
BRA,2,6.74566,13.72567,90.89521,short,private,2.3223846,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.911372737,3,top-down,1,relationship,family- state,family- state,53.33333,-0.129509256,Developmental ,top-down,0.531831697,-0.164934955,0.143281014,69,76,36,49,28,36,24,70
BRA,3,7.533456,15.07939,92.08061,short,private,2.1377521,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,3.572601953,3,top-down,1,relationship,family- state,family- state,57.666665,-0.190173458,Developmental ,top-down,0.437846179,-0.272296912,-0.112964012,69,76,36,49,28,41,22,75
BRA,4,3.987058,15.47032,93.2275,short,private,2.0466206,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,3.582129992,4,top-down,1,relationship,family- state,family- state,62,-0.253444288,Developmental ,top-down,0.265248012,-0.444789596,-0.143616812,69,76,36,49,28,37,23,77
CHL,1,9.236809,13.91266,96.60875,medium,private,2.3742335,industrial unions with some admixtures of craft unions,Banks,relationship-market,5.654481708,1,top-down,2,performance,family,family,63.33333,-0.500782669,Regulatory,top-down,-1.268121501,-0.086868841,-0.250898259,63,86,49,28,12,74,32,59
CHL,2,9.887544,14.97642,96.70301,medium,private,2.1957197,industrial unions with some admixtures of craft unions,Banks,relationship-market,8.104645622,1,top-down,2,performance,family,family,63.88888667,-0.501930416,Regulatory,top-down,-1.679668983,0.102639962,-0.269045808,63,86,49,28,12,71,32,63
CHL,3,10.10624,15.99155,96.51449,medium,private,2.3635371,industrial unions with some admixtures of craft unions,Banks,relationship-market,7.190010226,1,top-down,2,performance,family,family,66.333335,-0.349886999,Regulatory,top-down,-1.572013259,0.33973851,-0.289824699,63,86,49,28,12,70,32,70
CHL,4,10.74148,16.5317,96.60875,medium,private,2.3985877,industrial unions with some admixtures of craft unions,Banks,relationship-market,4.80501655,1,top-down,2,performance,family,family,66,-0.098833456,Regulatory,top-down,-1.634628624,0.623365492,-0.314406131,63,86,49,28,12,67,35,73
CHN,1,6.665,10.24271625,90.92021,all,private,2.7679181,party-controlled unions,Banks,relationship-state-guidance,3.687086582,4,top-down,1,relationship,family- state,family- state,43.33333,-0.583470901,Developmental and predatory,bottom-up and top-down,-0.280237772,-0.205003555,-0.005259729,80,30,43,66,77,34,56,51
CHN,2,7.113083,12.40982,95.12448,all,private,2.7874074,party-controlled unions,Banks,relationship-state-guidance,3.820739991,4,top-down,1,relationship,family- state,family- state,48.88888833,-0.332776693,Developmental and predatory,bottom-up and top-down,-0.122814103,-0.091969768,0.234730718,80,30,43,66,77,35,58,55
